"","country","intercept.estimate","intercept.se","slope.estimate","slope.se"
"1","Korea, Rep.",-1034.4133,38.8769206432731,0.555400000000002,0.0196390213819123
"2","Japan",-623.74693892774,45.331372001591,0.352904195804197,0.0228995447499443
"3","Canada",-358.348892307693,8.25213234921791,0.218869230769231,0.00416863786974605
"4","United Kingdom",-294.196587645689,14.6376834489753,0.185965734265735,0.00739435566087793
"5","Mexico",-827.414879953383,34.6006905129103,0.451034965034966,0.0174788457925242
